,0
1509,1645220
1510,878462
1511,524910
1512,646270
1513,50130
1514,977610
1515,1265920
1516,1016800
1517,1178830
1518,1799930
1519,1593330
1520,543870
1521,414340
1522,405310
1523,516750
1524,1370050
1525,560130
1526,281610
1527,1650120
1528,228380
1529,1568690
1530,611790
1531,383120
1532,537110
1533,1092880
1534,965230
1535,1881200
1536,1316550
1537,648580
1538,220700
1539,1475460
1540,1303183
1541,1223870
1542,557340
1543,287980
1544,235600
1545,505230
1546,783770
1547,1104880
1548,1173780
1549,480490
1550,1797973
1551,803050
1552,1238070
1553,1947010
1554,42960
1555,257350
1556,1682970
1557,1648531
1558,477740
1559,1466640
1560,16867
1561,257420
1562,1491710
1563,366260
1564,1531470
1565,204100
1566,1262240
1567,"1090150,1090200,1314563"
1568,"239140,335810,325724,435111,325723,347090"
1569,1613285
1570,1713810
1571,1121560
1572,505460
1573,1042380
1574,1451480
1575,971790
1576,512035
1577,1047440
1578,919360
1579,1242980
1580,1544360
1581,525510
1582,897220
1583,1203140
1584,1683100
1585,699170
1586,1679700
1587,587430
1588,1708020
1589,1203630
1590,1947130
1591,"35140,200260,208650,367480"
1592,404010
1593,1579991
1594,1069660
1595,677120
1596,1423600
1597,895400
1598,1859360
1599,582600
1600,1100250
1601,463530
1602,1277930
1603,304930
1604,483980
1605,1517030
1606,388475
1607,383150
1608,1579992
1609,250300
1610,1887030
1611,377840
1612,872200
1613,274520
1614,1967320
1615,1788370
1616,200210
1617,809140
1618,311310
1619,1449260
1620,1946960
1621,1408020
1622,628080
1623,1631380
1624,24780
1625,1819310
1626,849261
1627,910490
1628,1134570
1629,1235742
1630,1284410
1631,1611940
1632,292120
1633,587100
1634,1347610
1635,1383250
1636,1444650
1637,1497950
1638,1292940
1639,1685720
1640,1389360
1641,382110
1642,1621070
1643,882100
1644,219150
1645,839770
1646,1296830
1647,1621460
1648,526160
1649,1351630
1650,291650
1651,1760190
1652,1604000
1653,319510
1654,1685721
1655,1271680
1656,889770
1657,360430
1658,1123830
1659,383980
1660,1785010
1661,1773800
1662,757320
1663,259680
1664,1591530
1665,1904040
1666,1867630
1667,1251000
1668,1022850
1669,495140
1670,1748990
1671,956030
1672,692890
1673,1235751
1674,376680
1675,627270
1676,511680
1677,860950
1678,1492680
1679,589780
1680,555220
1681,15100
1682,432350
1683,1202900
1684,474960
1685,427290
1686,282400
1687,1122720
1688,113200
1689,677340
1690,222480
1691,859570
1692,1278390
1693,1367300
1694,206420
1695,907370
1696,784150
1697,365450
1698,925750
1699,884101
1700,1368210
1701,1315140
1702,1858305
1703,932850
1704,1022450
1705,1235747
1706,1293080
1707,976890
1708,1530640
1709,288160
1710,1945682
1711,1178490
1712,12200
1713,1461850
1714,1514840
1715,1328890
1716,907650
1717,1923670
1718,1901750
1719,304650
1720,307780
1721,1929870
1722,1403370
1723,20900
1724,1939350
1725,1710580
1726,1423900
1727,859580
1728,1557780
1729,260210
1730,738520
1731,891230
1732,816340
1733,1175830
1734,244160
1735,540710
1736,445220
1737,1123050
1738,337320
1739,334310
1740,407130
1741,418460
1742,1315150
1743,729000
1744,526060
1745,1348390
1746,220440
1747,110800
1748,1585820
1749,1842690
1750,428660
1751,1073320
1752,1399240
1753,345350
1754,1531471
1755,8980
1756,619680
1757,603850
1758,442120
1759,1233270
1760,937892
1761,982970
1762,312750
1763,367450
1764,1146830
1765,1043260
1766,375820
1767,1321450
1768,540711
1769,1499120
1770,320240
1771,1232460
1772,978300
1773,1432910
1774,1089270
1775,241260
1776,222420
1777,1876990
1778,1819400
1779,1843090
1780,310031
1781,1385380
1782,774791
1783,248610
1784,1259360
1785,486570
1786,837510
1787,2640
1788,1032760
1789,1969380
1790,1232252
1791,1798071
1792,1079180
1793,785790
1794,1343400
1795,65980
1796,1151440
1797,702890
1798,757310
1799,558990
1800,1017180
1801,1255560
